,0,1,file_path,target
0,NR,1,../data/train/NR/-0.301800012588501__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev372;1.png,6
1,NR,6,../data/train/NR/0.6492999792098999__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev479;1.png,11
2,NR,20,../data/train/NR/-2.8698999881744385__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev914;1.png,8
3,NR,1,../data/train/NR/-2.481300115585327__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev681;1.png,6
4,NR,1,../data/train/NR/-0.5986999869346619__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev194;1.png,6
5,NR,6,../data/train/NR/-2.2753000259399414__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev268;1.png,11
6,NR,1,../data/train/NR/1.5053999423980713__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev934;1.png,6
7,NR,20,../data/train/NR/2.735100030899048__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev253;1.png,8
8,NR,6,../data/train/NR/1.6510000228881836__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev649;1.png,11
9,NR,1,../data/train/NR/-0.07699999958276749__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev281;1.png,6
10,NR,20,../data/train/NR/-1.2934000492095947__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev556;1.png,8
11,NR,6,../data/train/NR/1.2750999927520752__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev914;1.png,11
12,NR,20,../data/train/NR/-1.218400001525879__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev894;1.png,8
13,NR,1,../data/train/NR/2.7665998935699463__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev250;1.png,6
14,NR,20,../data/train/NR/-0.8596000075340271__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev653;1.png,8
15,NR,1,../data/train/NR/2.3629000186920166__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev486;1.png,6
16,NR,6,../data/train/NR/2.559499979019165__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev906;1.png,11
17,NR,6,../data/train/NR/0.08030000329017639__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev493;1.png,11
18,NR,1,../data/train/NR/1.8903000354766846__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev732;1.png,6
19,NR,1,../data/train/NR/-2.312999963760376__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev554;1.png,6
20,NR,1,../data/train/NR/1.9501999616622925__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev780;1.png,6
21,NR,6,../data/train/NR/1.704300045967102__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev942;1.png,11
22,NR,6,../data/train/NR/-1.5544999837875366__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev459;1.png,11
23,NR,20,../data/train/NR/-0.5616999864578247__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev408;1.png,8
24,NR,1,../data/train/NR/-0.761900007724762__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev563;1.png,6
25,NR,6,../data/train/NR/-0.6373000144958496__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev457;1.png,11
26,NR,20,../data/train/NR/2.8749001026153564__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev183;1.png,8
27,NR,1,../data/train/NR/-0.06780000030994415__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev368;1.png,6
