,0,1,file_path,target,index,target_regression,target_classification,kfold,type
0,NR,6.0,../data/train/NR/2.2355000972747803__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev473;1.png,6.0_1,,6.0,1,2.0,
1,NR,6.0,../data/train/NR/0.27810001373291016__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev380;1.png,6.0_1,,6.0,1,0.0,
2,NR,20.0,../data/train/NR/0.12680000066757202__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev552;1.png,20.0_1,,20.0,1,1.0,
3,NR,1.0,../data/train/NR/2.2774999141693115__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev471;1.png,1.0_1,,1.0,1,2.0,
4,NR,6.0,../data/train/NR/0.3208000063896179__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev323;1.png,6.0_1,,6.0,1,0.0,
5,NR,1.0,../data/train/NR/-2.0459001064300537__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev320;1.png,1.0_1,,1.0,1,0.0,
6,NR,20.0,../data/train/NR/-1.4815000295639038__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev967;1.png,20.0_1,,20.0,1,1.0,
7,NR,6.0,../data/train/NR/-0.5963000059127808__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev851;1.png,6.0_1,,6.0,1,2.0,
8,NR,1.0,../data/train/NR/0.18700000643730164__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev891;1.png,1.0_1,,1.0,1,0.0,
9,NR,1.0,../data/train/NR/-2.816999912261963__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev343;1.png,1.0_1,,1.0,1,2.0,
10,NR,20.0,../data/train/NR/-1.207800030708313__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev283;1.png,20.0_1,,20.0,1,1.0,
11,NR,6.0,../data/train/NR/1.3941999673843384__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev461;1.png,6.0_1,,6.0,1,2.0,
12,NR,20.0,../data/train/NR/-1.1406999826431274__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev143;1.png,20.0_1,,20.0,1,2.0,
13,NR,1.0,../data/train/NR/3.0104000568389893__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev159;1.png,1.0_1,,1.0,1,1.0,
14,NR,6.0,../data/train/NR/1.5025999546051025__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev572;1.png,6.0_1,,6.0,1,0.0,
15,NR,20.0,../data/train/NR/2.2802000045776367__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev547;1.png,20.0_1,,20.0,1,0.0,
16,NR,1.0,../data/train/NR/-0.19990000128746033__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev288;1.png,1.0_1,,1.0,1,1.0,
17,NR,1.0,../data/train/NR/3.0994999408721924__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev459;1.png,1.0_1,,1.0,1,2.0,
